source_row_index,package,group_id,dataset_class_id,class_name,natural_split
0,com.asdjklqw.echovox,com.asdjklqw.echovox,1,Adware,train
1,com.ps.blackwhite,com.ps.blackwhite,1,Adware,train
2,com.androidemu.harvezhongdong,com.androidemu.harvezhongdong,1,Adware,train
3,com.fcmm,com.fcmm,1,Adware,train
4,com.allen.cc,com.allen.cc,1,Adware,train
6,net.hidroid.hisurfing,net.hidroid.hisurfing,1,Adware,train
7,com.evilsunflower.reader.evilYingyou,com.evilsunflower.reader.evilYingyou,1,Adware,train
8,cn.ming.renpin,cn.ming.renpin,1,Adware,train
9,wyjwobei.mouse,wyjwobei.mouse,1,Adware,train
10,com.example.suishoukan,com.example.suishoukan,1,Adware,train
11,com.htcheng.bingdict,com.htcheng.bingdict,1,Adware,train
12,com.p.wallpaper.c58,com.p.wallpaper.c58,1,Adware,test
13,com.android.mmreader293,com.android.mmreader293,1,Adware,validation
14,com.wb.olock20131020001967,com.wb.olock20131020001967,1,Adware,train
15,com.pgcandroidtools.getwifi,com.pgcandroidtools.getwifi,1,Adware,train
16,com.phundroid.dandaner,com.phundroid.dandaner,1,Adware,train
17,huanghaitong.game.shuiguolianliankan,huanghaitong.game.shuiguolianliankan,1,Adware,train
18,funny.photo,funny.photo,1,Adware,train
19,com.nimeishouyou.kkvfjnvdjfvdfvjdgz10,com.nimeishouyou.kkvfjnvdjfvdfvjdgz10,1,Adware,train
20,com.kelphy3.chinesechess,com.kelphy3.chinesechess,1,Adware,train
21,com.mobi.screensaver.ymgx,com.mobi.screensaver.ymgx,1,Adware,test
22,com.colorme.game.ace,com.colorme.game.ace,1,Adware,train
23,cn.nptuv.bceijk13789.spool,cn.nptuv.bceijk13789.spool,1,Adware,train
24,com.livewallpaper.MZDLDYH9,com.livewallpaper.MZDLDYH9,1,Adware,validation
25,cn.com.xiaol.livewallpaper.yedianmn,cn.com.xiaol.livewallpaper.yedianmn,1,Adware,train
26,com.wangwei.xiyangyang,com.wangwei.xiyangyang,1,Adware,test
27,com.keedor.app.translator.zhcnko,com.keedor.app.translator.zhcnko,1,Adware,train
28,com.dangerb.pedometer,com.dangerb.pedometer,1,Adware,train
29,liuyaokun.game.jumpdino,liuyaokun.game.jumpdino,1,Adware,train
30,org.kaqrmwj.osaeraeofpcl,org.kaqrmwj.osaeraeofpcl,1,Adware,train
31,com.sky_dreaming.weather,com.sky_dreaming.weather,1,Adware,validation
32,com.wb.hlock20131215002514,com.wb.hlock20131215002514,1,Adware,train
