source_row_index,package,group_id,dataset_class_id,model_class_index,class_name,split
12,com.p.wallpaper.c58,com.p.wallpaper.c58,1,0,Adware,test
21,com.mobi.screensaver.ymgx,com.mobi.screensaver.ymgx,1,0,Adware,test
26,com.wangwei.xiyangyang,com.wangwei.xiyangyang,1,0,Adware,test
33,com.han.srmm1,com.han.srmm1,1,0,Adware,test
41,com.scientists.wogps,com.scientists.wogps,1,0,Adware,test
47,com.androidemu.neszsebwdlpy,com.androidemu.neszsebwdlpy,1,0,Adware,test
51,ps.wb.csppxx.lock20120708000919,ps.wb.csppxx.lock20120708000919,1,0,Adware,test
74,goodyes.signgps,goodyes.signgps,1,0,Adware,test
81,pk.noqtq.bcdfif12474.animal,pk.noqtq.bcdfif12474.animal,1,0,Adware,test
82,googleanzhi.pokercard,googleanzhi.pokercard,1,0,Adware,test
107,com.game.flash.jingdiantq,com.game.flash.jingdiantq,1,0,Adware,test
108,com.dray.apkclearer,com.dray.apkclearer,1,0,Adware,test
127,com.android.mmreader318,com.android.mmreader318,1,0,Adware,test
129,net.yyasp.exam.accountant,net.yyasp.exam.accountant,1,0,Adware,test
131,com.shere.livewallpapersb179,com.shere.livewallpapersb179,1,0,Adware,test
132,liu.niu.soft.loverslkl01,liu.niu.soft.loverslkl01,1,0,Adware,test
136,com.kb.Carrom3DFullcn,com.kb.Carrom3DFullcn,1,0,Adware,test
138,mobile.app248,mobile.app248,1,0,Adware,test
147,com.meiricai.app,com.meiricai.app,1,0,Adware,test
152,com.ecmgqbugo,com.ecmgqbugo,1,0,Adware,test
163,ps.wb.csppxx.lock20121021001785,ps.wb.csppxx.lock20121021001785,1,0,Adware,test
169,com.greensoft.whlALiDeXingFu,com.greensoft.whlALiDeXingFu,1,0,Adware,test
175,com.windrey.penguin,com.windrey.penguin,1,0,Adware,test
181,com.work.game,com.work.game,1,0,Adware,test
182,com.lbeing.word.kaoyan,com.lbeing.word.kaoyan,1,0,Adware,test
183,com.colorme.game.Dragonball,com.colorme.game.Dragonball,1,0,Adware,test
198,com.mobi.screensaver.alnine6,com.mobi.screensaver.alnine6,1,0,Adware,test
199,com.rainbow.Diz,com.rainbow.Diz,1,0,Adware,test
204,com.markeu.msscan,com.markeu.msscan,1,0,Adware,test
209,ps.wb.music20130922001776,ps.wb.music20130922001776,1,0,Adware,test
214,com.android.mmreader104,com.android.mmreader104,1,0,Adware,test
221,doudoufight.vent,doudoufight.vent,1,0,Adware,test
222,com.mm.plugins.contactsprotect.phoneintercept1,com.mm.plugins.contactsprotect.phoneintercept1,1,0,Adware,test
229,orz.lk.mydt,orz.lk.mydt,1,0,Adware,test
241,com.android.mmreader693,com.android.mmreader693,1,0,Adware,test
243,org.ali.iphonescreen,org.ali.iphonescreen,1,0,Adware,test
247,net.hidroid.privacy,net.hidroid.privacy,1,0,Adware,test
249,com.android.mmreader429,com.android.mmreader429,1,0,Adware,test
254,com.wei.and.njjzw.qute.moy,com.wei.and.njjzw.qute.moy,1,0,Adware,test
262,com.xoYu.Games.AngryBirdsLinking,com.xoYu.Games.AngryBirdsLinking,1,0,Adware,test
265,sunkay.BookXueshanfeihu,sunkay.BookXueshanfeihu,1,0,Adware,test
268,cmcom.elsdoerfer.android.autostarts,cmcom.elsdoerfer.android.autostarts,1,0,Adware,test
271,com.mogo.bequick,com.mogo.bequick,1,0,Adware,test
283,com.thinkyeah.smartlockfree,com.thinkyeah.smartlockfree,1,0,Adware,test
290,com.colorme.game.qinshoubenxingceshi,com.colorme.game.qinshoubenxingceshi,1,0,Adware,test
293,com.nanoha.DeviceAdmin,com.nanoha.DeviceAdmin,1,0,Adware,test
295,com.android.mmreader771,com.android.mmreader771,1,0,Adware,test
297,com.android.mmreader502,com.android.mmreader502,1,0,Adware,test
302,net.wangyuanjing.abc,net.wangyuanjing.abc,1,0,Adware,test
307,com.android.mmreader33,com.android.mmreader33,1,0,Adware,test
311,com.androidemu.harvesongshuzz,com.androidemu.harvesongshuzz,1,0,Adware,test
312,cn.bighead.livewallpaper.jianfei197xzq,cn.bighead.livewallpaper.jianfei197xzq,1,0,Adware,test
317,com.cdjm.StealFruit.core,com.cdjm.StealFruit.core,1,0,Adware,test
319,com.colorme.game.zenonmegablast,com.colorme.game.zenonmegablast,1,0,Adware,test
336,com.greensoft.xiaRiQingLiang,com.greensoft.xiaRiQingLiang,1,0,Adware,test
338,com.npsou.bcehdj13628.plant,com.npsou.bcehdj13628.plant,1,0,Adware,test
339,com.clearapp_bysc,com.clearapp_bysc,1,0,Adware,test
345,com.app.hero.ui,com.app.hero.ui,1,0,Adware,test
351,com.shirley.livewallpaper.xiangcun1,com.shirley.livewallpaper.xiangcun1,1,0,Adware,test
354,com.wxqhbfz.vn,com.wxqhbfz.vn,1,0,Adware,test
367,com.zson.mbiz,com.zson.mbiz,1,0,Adware,test
375,com.android.mmreader513,com.android.mmreader513,1,0,Adware,test
387,com.colorme.game.cangshudiuguazi,com.colorme.game.cangshudiuguazi,1,0,Adware,test
398,googleanzhi.smallants,googleanzhi.smallants,1,0,Adware,test
407,com.coderet.motto,com.coderet.motto,1,0,Adware,test
408,com.evilsunflower.reader.evilShenger,com.evilsunflower.reader.evilShenger,1,0,Adware,test
410,com.htc.android.jq,com.htc.android.jq,1,0,Adware,test
418,com.android.mmreader1079,com.android.mmreader1079,1,0,Adware,test
427,com.mobi.screensaver.iphonefzltf,com.mobi.screensaver.iphonefzltf,1,0,Adware,test
431,qq.skin.gr2xn,qq.skin.gr2xn,1,0,Adware,test
432,com.mobi.livewallpaper.dyasl6,com.mobi.livewallpaper.dyasl6,1,0,Adware,test
434,com.adwo.android.snake,com.adwo.android.snake,1,0,Adware,test
435,com.android.mmreader265,com.android.mmreader265,1,0,Adware,test
444,com.zhangchao.wwwwwwweeeeee,com.zhangchao.wwwwwwweeeeee,1,0,Adware,test
453,com.shenghuo.yingerqi,com.shenghuo.yingerqi,1,0,Adware,test
454,com.qulordy.learn.mastervoa,com.qulordy.learn.mastervoa,1,0,Adware,test
455,cn.com.DDRSY.livewallpaper.molily,cn.com.DDRSY.livewallpaper.molily,1,0,Adware,test
456,com.livegame.android.shelves,com.livegame.android.shelves,1,0,Adware,test
457,com.android.mmreader713,com.android.mmreader713,1,0,Adware,test
461,movecont2.hrjenglish3,movecont2.hrjenglish3,1,0,Adware,test
467,com.gigi.walkietalkie,com.gigi.walkietalkie,1,0,Adware,test
469,cn.hongxiu.singlebook244185,cn.hongxiu.singlebook244185,1,0,Adware,test
472,com.realarcade.sunteamworka,com.realarcade.sunteamworka,1,0,Adware,test
476,diantai.wangluo.cri.cn,diantai.wangluo.cri.cn,1,0,Adware,test
487,com.wy.screensaver.aqgys1,com.wy.screensaver.aqgys1,1,0,Adware,test
493,com.minerhao.datou,com.minerhao.datou,1,0,Adware,test
502,com.wb.olock20130808001468,com.wb.olock20130808001468,1,0,Adware,test
504,com.wax.jcgj,com.wax.jcgj,1,0,Adware,test
515,com.gp.netscramblefull,com.gp.netscramblefull,1,0,Adware,test
516,com.shylisr,com.shylisr,1,0,Adware,test
520,com.han.livewallpapersb142,com.han.livewallpapersb142,1,0,Adware,test
529,com.TranslateOnline,com.TranslateOnline,1,0,Adware,test
531,com.ps.mine,com.ps.mine,1,0,Adware,test
536,com.qianxun.kankan,com.qianxun.kankan,1,0,Adware,test
546,com.shirley.livewallpaper.puluowans,com.shirley.livewallpaper.puluowans,1,0,Adware,test
549,com.mobi.screensaver.llmy8,com.mobi.screensaver.llmy8,1,0,Adware,test
556,com.doaspx.Happy,com.doaspx.Happy,1,0,Adware,test
574,com.eugm.sakdinchpdsel.tdegahuu.ggnop,com.eugm.sakdinchpdsel.tdegahuu.ggnop,1,0,Adware,test
579,com.jame,com.jame,1,0,Adware,test
581,com.android.mmreader1189,com.android.mmreader1189,1,0,Adware,test
584,com.ponphy.appmanager,com.ponphy.appmanager,1,0,Adware,test
588,org.waller.filemanager,org.waller.filemanager,1,0,Adware,test
589,com.shengdianxia.pushmy,com.shengdianxia.pushmy,1,0,Adware,test
602,com.zhangda.shiyue.er.shuiguorenzhe,com.zhangda.shiyue.er.shuiguorenzhe,1,0,Adware,test
605,com.znn.qqonline,com.znn.qqonline,1,0,Adware,test
610,com.MarksThinkTank.puenckfpuenckfp,com.MarksThinkTank.puenckfpuenckfp,1,0,Adware,test
611,com.yyb.huaerchuji,com.yyb.huaerchuji,1,0,Adware,test
613,com.yyb.zhanzhengyuheping,com.yyb.zhanzhengyuheping,1,0,Adware,test
631,mobi.rhmkpvj.uhpjtk.spsvk,mobi.rhmkpvj.uhpjtk.spsvk,1,0,Adware,test
638,com.wanpu.shuijinddp,com.wanpu.shuijinddp,1,0,Adware,test
641,com.core.android.carer,com.core.android.carer,1,0,Adware,test
644,com.albert.rb.ccalender,com.albert.rb.ccalender,1,0,Adware,test
652,com.greensoft.haoHanXingKong,com.greensoft.haoHanXingKong,1,0,Adware,test
661,info.rhmipkj.ihijtk.sptvs,info.rhmipkj.ihijtk.sptvs,1,0,Adware,test
665,com.nckekeX.quwei.android,com.nckekeX.quwei.android,1,0,Adware,test
668,cn.hongxiu.singlebook93686,cn.hongxiu.singlebook93686,1,0,Adware,test
670,show.magiciconk,show.magiciconk,1,0,Adware,test
672,com.android.mmreader662,com.android.mmreader662,1,0,Adware,test
679,com.gamex.backup.think,com.gamex.backup.think,1,0,Adware,test
680,com.android.mmreader530,com.android.mmreader530,1,0,Adware,test
686,cn.hongxiu.singlebook330948,cn.hongxiu.singlebook330948,1,0,Adware,test
692,cn.zj.one.hanhan.gaokaoa,cn.zj.one.hanhan.gaokaoa,1,0,Adware,test
706,com.lolllk,com.lolllk,1,0,Adware,test
710,com.guoli.mobilebook080,com.guoli.mobilebook080,1,0,Adware,test
715,ps.wb.mncbl20120220011128,ps.wb.mncbl20120220011128,1,0,Adware,test
735,com.fywork.lomo,com.fywork.lomo,1,0,Adware,test
739,com.example.cebianlan,com.example.cebianlan,1,0,Adware,test
743,com.ryan.xgn,com.ryan.xgn,1,0,Adware,test
754,com.colorme.game.gaoguaipengpengqiu,com.colorme.game.gaoguaipengpengqiu,1,0,Adware,test
764,com.txtdzs.andqiaobusijiceodebixiuke_pingguodezhexue,com.txtdzs.andqiaobusijiceodebixiuke_pingguodezhexue,1,0,Adware,test
774,game.ps.an.mncbl2,game.ps.an.mncbl2,1,0,Adware,test
794,com.zz.wfllzs,com.zz.wfllzs,1,0,Adware,test
798,com.hengtalk.jelly.pop.cn,com.hengtalk.jelly.pop.cn,1,0,Adware,test
816,com.ps.ddp,com.ps.ddp,1,0,Adware,test
818,com.androidemu.harvehdlshuishang,com.androidemu.harvehdlshuishang,1,0,Adware,test
829,com.or.jsy.kittymemohvc,com.or.jsy.kittymemohvc,1,0,Adware,test
832,hcursor.huanziti,hcursor.huanziti,1,0,Adware,test
853,com.sinosoft.compass,com.sinosoft.compass,1,0,Adware,test
866,com.sjjdj.fdianymnqnb.activity,com.sjjdj.fdianymnqnb.activity,1,0,Adware,test
876,com.mobi.screensaver.xczmiphone3,com.mobi.screensaver.xczmiphone3,1,0,Adware,test
882,com.northpark.beautyphoto,com.northpark.beautyphoto,1,0,Adware,test
887,cn.nimeizhuomian.iionhdsfug,cn.nimeizhuomian.iionhdsfug,1,0,Adware,test
891,com.youthfulyoung.controller,com.youthfulyoung.controller,1,0,Adware,test
892,com.android.mmreader421,com.android.mmreader421,1,0,Adware,test
893,com.yangwen.cgamcs.xbwtoshlcm,com.yangwen.cgamcs.xbwtoshlcm,1,0,Adware,test
917,com.xinxuetang.ebook.GWYKSTJJ7418,com.xinxuetang.ebook.GWYKSTJJ7418,1,0,Adware,test
930,com.enhua.gjj.activity,com.enhua.gjj.activity,1,0,Adware,test
944,com.android.mmreader385,com.android.mmreader385,1,0,Adware,test
964,com.android.office.guan,com.android.office.guan,1,0,Adware,test
967,com.gamex.upset,com.gamex.upset,1,0,Adware,test
986,android.apk357.novel.heidaofengyunershinian,android.apk357.novel.heidaofengyunershinian,1,0,Adware,test
997,com.mx.mxdsharde,com.mx.mxdsharde,1,0,Adware,test
1003,googlems.summergames,googlems.summergames,1,0,Adware,test
1005,com.moru.chenj01,com.moru.chenj01,1,0,Adware,test
1006,googleanzhi.lovekiss,googleanzhi.lovekiss,1,0,Adware,test
1012,com.livegame.wallpapertoumingyd,com.livegame.wallpapertoumingyd,1,0,Adware,test
1024,com.zwldanji.appzwldanji,com.zwldanji.appzwldanji,1,0,Adware,test
1028,com.android.mmreader168,com.android.mmreader168,1,0,Adware,test
1032,com.peter,com.peter,1,0,Adware,test
1033,com.android.kill.childmath,com.android.kill.childmath,1,0,Adware,test
1038,com.android.mmreader286,com.android.mmreader286,1,0,Adware,test
1046,com.wb.olock20130923001788,com.wb.olock20130923001788,1,0,Adware,test
1052,cn.xiaoxiao21dianabcd.android,cn.xiaoxiao21dianabcd.android,1,0,Adware,test
1054,dianjin.agame.yonghengzt.waimaipisai,dianjin.agame.yonghengzt.waimaipisai,1,0,Adware,test
1069,com.ruavjvivrtbuspsnihgvfjhnfr,com.ruavjvivrtbuspsnihgvfjhnfr,1,0,Adware,test
1074,ps.wb.music20130419003286,ps.wb.music20130419003286,1,0,Adware,test
1076,googlems.potatopeelergame,googlems.potatopeelergame,1,0,Adware,test
1077,com.triangle.gangqin2siqi,com.triangle.gangqin2siqi,1,0,Adware,test
1081,oms.mmc.fortunetelling.fengshui.ninecity,oms.mmc.fortunetelling.fengshui.ninecity,1,0,Adware,test
1083,com.ccz.emeishan,com.ccz.emeishan,1,0,Adware,test
1100,k.microcells.footballwallpaper,k.microcells.footballwallpaper,1,0,Adware,test
1115,com.zhuaz.bugaishipdq,com.zhuaz.bugaishipdq,1,0,Adware,test
1120,googlems.halloweenpumpkinpancakes,googlems.halloweenpumpkinpancakes,1,0,Adware,test
1121,com.android.mmreader862,com.android.mmreader862,1,0,Adware,test
1124,com.catking.dqe,com.catking.dqe,1,0,Adware,test
1126,googleanzhi.pointhim,googleanzhi.pointhim,1,0,Adware,test
1142,,__missing_package_row_1142,1,0,Adware,test
1144,org.my3d.igbill,org.my3d.igbill,1,0,Adware,test
1145,com.wsx.ldwn,com.wsx.ldwn,1,0,Adware,test
1148,moyan.standopen,moyan.standopen,1,0,Adware,test
1151,com.wc.light,com.wc.light,1,0,Adware,test
1155,guoguo.wireless.usb,guoguo.wireless.usb,1,0,Adware,test
1160,com.ps.yams,com.ps.yams,1,0,Adware,test
1163,com.androidemu.harvemifeng,com.androidemu.harvemifeng,1,0,Adware,test
1166,ren.xiaoniaolianliankan13,ren.xiaoniaolianliankan13,1,0,Adware,test
1169,cn.com.xiaof.livewallpaper.xunyicaonvh,cn.com.xiaof.livewallpaper.xunyicaonvh,1,0,Adware,test
1176,com.kait.olivedream,com.kait.olivedream,1,0,Adware,test
1186,android.sms,android.sms,1,0,Adware,test
1191,com.fancyy.ddmsg,com.fancyy.ddmsg,1,0,Adware,test
1197,com.android.mmreader824,com.android.mmreader824,1,0,Adware,test
